Country,Year,GDP_Growth,Gov_Expenditure,Inflation,Unemployment,Investment_FDI,Real_Interest_Rate,Trade_Openness
IDN,2004,5.03087394501685,8.32186800551366,6.06406189133648,7.303,0.738243979887563,5.1344102312341,59.761294836691
IDN,2005,5.69257130383384,8.10950772075692,10.4532001873347,7.945,2.91611483313067,-0.245735467014772,63.9879358688635
IDN,2006,5.50095178520348,8.62716880197776,13.108670985346,7.551,1.34794264068931,1.65815142163521,56.6571268148867
IDN,2007,6.34502222667214,8.34646967931201,6.40656087966005,8.06,1.6030105718879,2.3396740908807,54.8292499782075
IDN,2008,6.01370360009123,8.42378092010217,10.2266663272483,7.208,1.82632902403998,-3.85224502633452,58.5613996312961
IDN,2009,4.62887118256153,9.58917814654342,4.38641311792074,6.106,0.90391941965406,5.7479520957843,45.5121213687054
IDN,2010,6.22385418062366,9.00591499311107,5.13420639015885,5.614,2.02517914569356,-1.74609753559601,46.7012738758737
IDN,2011,6.16978420771008,9.05867718048359,5.35604849112582,5.153,2.30298429381592,4.59437674883757,50.1800131841104
IDN,2012,6.03005065305615,9.24878837149533,4.2795142691943,4.468,2.30978031853073,7.75018856489028,49.5828982992627
IDN,2013,5.5572636889101,9.51771996272418,6.41249457900391,4.336,2.55135633401058,6.37493124212137,48.6373726752893
IDN,2014,5.006668425755,9.4250257185865,6.39492882396559,4.049,2.81997260412102,6.79211858069728,48.0801755855227
IDN,2015,4.87632230022123,9.74941376966575,6.36312061196646,4.514,2.29761639380441,8.34991063469474,41.9376402415294
IDN,2016,5.03306918280177,9.52781009028137,3.52580452815451,4.301,0.487372471368879,9.2244323441321,37.4213418023318
IDN,2017,5.06978590134916,9.12057115207813,3.80879857691949,3.783,2.01948919812582,6.50156399609039,39.3554970704606
IDN,2018,5.17429153955024,9.02123180420785,3.19834755924996,4.387,1.81428979349441,6.47124983937938,43.0743089552002
IDN,2019,5.01928768046282,8.80847129067065,3.03058460941661,3.59,2.23336204282241,8.62940479031397,37.6277775357108
IDN,2020,-2.06551182934165,9.65575053126545,1.91983527270793,4.255,1.81058402027127,9.98592671987596,32.9721754002427
IDN,2021,3.70288562827751,9.24694161503832,1.56007882983334,3.827,1.7878556314554,2.7532239499583,40.2047582749671
IDN,2022,5.30719722664799,7.68965394773072,4.20946463714784,3.462,1.87264100861425,-0.957376340510307,45.4646701959453
IDN,2023,5.04883117855516,7.4548740846574,3.66938654859761,3.308,1.57116966408747,7.2850532563888,41.4604765447233
IND,2000,3.84099115686554,11.9478354691139,4.0094359104519,7.589,0.765211694280817,8.34261083169541,26.9009229104474
IND,2001,4.82396626397303,11.7614498890899,3.77929312235637,7.611,1.05638020993358,8.59144929472996,25.9932547534365
IND,2002,3.80397532120038,11.3140950692424,4.29715203929562,7.681,1.01156946489919,7.90717718905634,29.5086629350614
IND,2003,7.86038147545045,10.8762099129119,3.80585899528853,7.633,0.605887857091792,7.30788115992965,30.592436132908
IND,2004,7.92293661307978,10.4047023481415,3.76725173477517,7.598,0.765596855110284,4.91012830439652,37.503814059447
IND,2005,7.92343062131789,10.3661401972455,4.24634362031924,7.551,0.886098378458823,4.85514517170548,42.0016696148691
IND,2006,8.06073257305057,9.80247046783494,5.79652337561634,7.553,2.13016842534495,2.57060670308207,45.7244804992652
IND,2007,7.66081506510766,9.86211572842642,6.37288135593231,7.562,2.07339404668754,5.68184406266903,45.686268679348
IND,2008,3.08669805950082,10.5384811563533,8.34926704907575,7.629,3.6205232354017,3.77175624993679,53.3682204392226
IND,2009,7.8618888330338,11.459667419691,10.8823529411764,7.636,2.65159033235479,4.80859210783414,46.2728696428837
IND,2010,8.49758470165625,11.0076078674499,11.9893899204245,7.631,1.6350340943491,-1.98385922190105,49.2552064974161
IND,2011,5.24131620024293,11.0844615855594,8.9117933648336,7.609,2.0020634629993,1.31798086277381,55.6238800135298
IND,2012,5.45638755164772,10.6838562318127,9.47899691419793,7.645,1.31293453035323,2.47352048879141,55.7937217287511
IND,2013,6.38610640091713,10.2951601419598,10.0178784746104,7.678,1.5162764665975,3.8659928626783,53.8441319466777
IND,2014,7.41022760516977,10.4408568081213,6.66565671867899,7.656,1.69565958990806,6.6951760905166,48.9221857470669
IND,2015,7.99625378567987,10.4282907091862,4.90697344127249,7.629,2.09211521443253,7.55648841350514,41.9229138658647
IND,2016,8.25630550176662,10.3085480747222,4.94821634062134,7.611,1.9373641224439,6.23271141480041,40.082485713276
IND,2017,6.79538341902422,10.7671989547856,3.32817337461305,7.626,1.50731583255894,5.3276088624176,40.7424969545225
IND,2018,6.45385134495295,10.8232185258548,3.93882646691643,7.652,1.55821483801456,5.36166638952418,43.6169693323889
IND,2019,3.87143694070524,11.0026755133718,3.72950573539123,6.51,1.78482633957161,6.8948754272989,39.9054035306442
IND,2020,-5.77772470687303,11.6124524106018,6.6234367762853,7.859,2.40620322673636,4.13599957785852,37.7581053292768
IND,2021,9.68959249191741,10.4763782400684,5.13140747176364,6.38,1.41217101040888,0.316945144201484,45.4230887840446
IND,2022,7.6093649776932,11.0688036450937,6.69903414079858,4.822,1.53665241748393,5.55501946152238,50.6979382758042
IND,2023,7.210224629335,10.6054981056988,5.64914318907925,4.172,0.802254995836756,5.55501946152238,46.3229520582338
ITA,2000,3.88209885062652,17.8233407313728,2.53768532095002,10.834,1.14581409094162,5.17582390639849,50.2747311455639
ITA,2001,2.00643329837733,18.4749145877067,2.78516542713554,9.599,1.26941636801649,4.09820217486432,49.8632723203495
ITA,2002,0.26992966378873,18.6145960121792,2.46532319171165,9.211,1.34499006490549,3.12811622868189,47.8713186791542
ITA,2003,0.0665538088732092,19.0650756831925,2.6725555277285,8.869,1.23649728851371,2.58132814975126,45.9940859777074
ITA,2004,1.4740217064723,19.2599448233726,2.20673661423657,7.866,1.10881762156492,2.80270189389167,47.2663923891771
ITA,2005,0.762410677306491,19.6997064385986,1.9852929852798,7.73,1.9711754818286,3.16379060277756,49.1221742288618
ITA,2006,1.79947992234244,19.5502275133951,2.09084391012754,6.777,2.91006549515942,3.33205306061278,52.9235429597012
ITA,2007,1.46229205289291,19.1061373626492,1.82974112202403,6.076,2.9684958153757,3.77483941993744,54.8280415572531
ITA,2008,-1.02313851177097,19.6720387939835,3.34783258401022,6.723,-0.393031898243063,4.32862903554889,54.2142548956671
ITA,2009,-5.30515401233991,20.8208815213722,0.774768131387381,7.749,0.751632233908177,2.93215777941709,45.1414765721604
ITA,2010,1.52910573247101,20.6877280787162,1.52551602118248,8.363,0.462974196548407,3.41342018267074,51.6621118138339
ITA,2011,0.695463154440176,19.9439205262434,2.78063272879323,8.359,1.49396922230512,2.82160353555801,54.4722149449288
ITA,2012,-3.12523877282996,19.9355930573762,3.04136333226775,10.655,0.00166359418160293,3.46119744979934,54.8844952702204
ITA,2013,-1.81802510749792,19.9446023702419,1.21999342274306,12.149,0.907076904789878,3.97364793630999,54.0341846317499
ITA,2014,-0.00138761730454462,19.625084060739,0.241047429826756,12.683,0.783743281747353,3.92865782875133,54.4545299332032
ITA,2015,0.885667635240807,19.1725049881929,0.0387903996579733,11.896,0.720886367724088,3.3204815735536,55.4356858148221
ITA,2016,1.23622108511661,19.1381480918602,-0.09401665691575,11.688,1.35957350873308,2.22028189161628,54.4321467018313
ITA,2017,1.60369995294101,18.9977833101079,1.22653316645812,11.211,0.44334154868577,2.27486413860821,57.5829940274911
ITA,2018,0.826646712344115,18.8848858137312,1.13748763600391,10.538,2.10769610409512,1.5923708555414,59.2749835128154
ITA,2019,0.429162533780342,18.6874454981379,0.611246943765304,9.884,1.77066894209208,1.53937572556579,58.6941902594738
ITA,2020,-8.86822122185345,20.7320079575481,-0.13770757391651,9.192,-0.893869914296462,0.739269290959431,53.9394839042764
ITA,2021,8.93106210800055,19.6375873442896,1.87378325762481,9.497,1.20474315612308,0.733185661773553,60.3019776202798
ITA,2022,4.82117669913565,18.838554715179,8.20128991161718,8.069,2.94181405797187,-1.15112854557422,72.0165023032697
ITA,2023,0.922796543670316,17.9022752317075,5.62219442195901,7.627,1.81363348239025,-1.28695914496663,65.1028419441908
JPN,2000,2.97832688768516,16.2988493817018,-0.676578683595175,4.748,0.211966659175493,3.31057141487637,19.2751936529389
JPN,2001,0.284608556379041,16.9871214974893,-0.740055504162738,5.02,0.110976878146313,3.00902151941449,19.2772303804527
JPN,2002,0.0849888050363319,17.5230676412891,-0.923494026942321,5.386,0.272197790665394,3.30170079285239,20.1432481553025
JPN,2003,1.38010935830795,17.6035501284581,-0.256541816316025,5.251,0.191794076237143,3.65157060492992,21.0750119103347
JPN,2004,2.11294823723127,17.5017268819927,-0.00857338820310272,4.734,0.152341816004989,3.05729587485188,23.4324185456932
JPN,2005,1.8482813374834,17.5160759916723,-0.282946068764391,4.446,0.111977275601545,3.02604460494252,25.9909279228382
JPN,2006,1.54630843078741,17.3348120303534,0.249355116079085,4.192,-0.0515679721801721,2.62941844764469,29.714872929485
JPN,2007,1.72837912865577,17.3297481265532,0.060039454498669,3.888,0.467735072888992,2.88191784811741,32.4957200262739
JPN,2008,-1.16662209355141,17.6813434344154,1.3800788616492,4.002,0.477207449449493,2.83861121401881,33.7738026089171
JPN,2009,-5.9359411383964,19.0444721731763,-1.35283672951719,5.068,0.229098901311457,2.19879243282486,24.1730393019729
JPN,2010,4.13645589222239,18.9527729272536,-0.728243207517779,5.102,0.128037155210339,3.56561041859023,28.2400150860666
